Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,OperatingSystems,Browser,Region,TrafficType,Weekend,Revenue,Month.Aug,Month.Dec,Month.Feb,Month.Jul,Month.June,Month.Mar,Month.May,Month.Nov,Month.Oct,Month.Sep,VisitorType.New_Visitor,VisitorType.Returning_Visitor
7,380.8,0,0,50,2653.196667,0.015686275,0.027908497,0,0,3,3,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1
6,270.75,0,0,6,217.5,0,0.02,0,0,4,3,4,3,2,0,0,1,0,0,0,0,0,0,0,0,1,0
7,190.5833333,2,1131,46,5492.366667,0.019090909,0.043948052,8.567142857,0,3,1,6,7,1,0,0,0,0,0,0,0,1,0,0,0,0,1
4,131,1,0,39,1752.942857,0.020075188,0.03374269,0,0.2,2,2,3,5,1,0,0,0,0,0,0,0,1,0,0,0,0,1
4,120.7,0,0,5,74.4,0,0.022222222,0,0,3,3,4,6,1,0,0,0,0,0,0,0,0,0,1,0,1,0
0,0,2,45.75,42,1931.630952,0,0.008333333,0,0,2,2,6,2,2,0,0,1,0,0,0,0,0,0,0,0,0,1
6,145,0,0,13,644,0,0.013333333,0,0,3,3,1,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0
3,25,0,0,1,8,0,0.033333333,0,0,3,5,1,6,2,0,0,0,0,0,0,0,0,0,1,0,1,0
0,0,0,0,6,53,0,0.06,0,0,3,3,7,4,2,0,0,0,0,0,0,1,0,0,0,0,0,1
1,14,1,38,46,1060.451515,0.004444444,0.01558385,0,0,3,3,1,3,2,0,0,0,0,0,0,0,1,0,0,0,0,1
2,1223,4,416,21,2755.67094,0.004545455,0.027575758,0,0,4,3,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,18,315.6944444,0,0.002941176,0,0,2,2,8,8,1,0,0,0,0,0,0,0,0,1,0,0,1,0
8,139.2,0,0,49,3346.969048,0,0.008471594,12.5740183,0,3,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,1,0,0.2,0.2,0,0,3,3,1,11,1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,22,903.1634615,0.009090909,0.015757576,0,0,4,3,6,8,2,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,20,2846.833333,0.006666667,0.0475,0,0,3,3,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,5,276,0,0.04,0,0,4,3,3,2,2,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,14,263.175,0,0.021428571,0,0,1,1,1,8,1,0,0,0,0,0,0,0,0,1,0,0,0,1
3,32,0,0,15,276.3666667,0,0,55.82099528,0,3,4,1,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,1,0,0.2,0.2,0,0,4,3,9,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1
